자치구,인구수,한국인,외국인,고령자
합계,10204057 ,9930616 ,273441 ,1300877 
종로구,161922 ,152737 ,9185 ,25091 
중구,134409 ,125249 ,9160 ,20606 
용산구,245102 ,230241 ,14861 ,35915 
성동구,307161 ,299259 ,7902 ,39262 
광진구,372104 ,357215 ,14889 ,41441 
동대문구,370312 ,355069 ,15243 ,53460 
중랑구,415677 ,411005 ,4672 ,55914 
성북구,461617 ,450355 ,11262 ,64015 
강북구,330704 ,327195 ,3509 ,54053 
도봉구,350272 ,348220 ,2052 ,50510 
노원구,571212 ,567581 ,3631 ,70887 
은평구,495937 ,491476 ,4461 ,71457 
서대문구,325871 ,314194 ,11677 ,47653 
마포구,390887 ,379892 ,10995 ,48303 
양천구,481845 ,477739 ,4106 ,52063 
강서구,602104 ,595485 ,6619 ,71062 
구로구,449600 ,417551 ,32049 ,55705 
금천구,254654 ,235386 ,19268 ,32279 
영등포구,406779 ,370613 ,36166 ,51844 
동작구,413247 ,400997 ,12250 ,55231 
관악구,525607 ,506851 ,18756 ,66952 
서초구,451477 ,447192 ,4285 ,50984 
강남구,572140 ,567115 ,5025 ,61931 
송파구,664946 ,657831 ,7115 ,71064 
강동구,448471 ,444168 ,4303 ,53195 
